card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
1,1,2,5146-1569-7639-3423,03/26,7500.0,1811.2,2022-06-03
2,2,2,5261-4465-5635-3708,06/27,5700.0,1062.94,2024-10-20
3,2,5,3486-9182-3830-2024,08/25,51100.0,3405.1800000000003,2023-04-02
4,2,4,5235-7655-3460-6036,09/26,37100.0,52.469999999999985,2023-03-10
5,3,2,5393-6407-0545-5330,04/26,7900.0,-189.59999999999985,2025-01-20
6,3,1,5513-1704-3468-2480,06/28,1600.0,3094.3500000000004,2023-08-20
7,3,4,6555-5684-3913-9919,06/27,25400.0,5621.749999999999,2023-01-25
8,4,2,5397-8332-6940-1358,07/26,6000.0,216.53000000000003,2024-07-01
9,5,2,5220-6654-3822-5596,01/26,5400.0,-135.28999999999996,2025-02-18
10,5,1,5251-6675-2636-9692,11/27,3200.0,1163.01,2023-11-19
11,6,2,6011-9375-5719-8241,11/25,7300.0,2513.2799999999997,2023-02-09
12,7,3,5361-4638-5167-3854,05/27,23300.0,2843.370000000001,2022-05-10
13,8,5,5503-1974-8525-9165,12/27,54400.0,1046.6200000000001,2022-05-05
14,8,3,6586-4930-5494-2584,04/28,12300.0,10592.26,2024-07-04
15,9,3,6444-4757-4855-9407,12/27,22100.0,1910.98,2023-01-25
16,9,2,5301-5704-0775-6394,06/26,7700.0,1835.3899999999999,2022-06-08
17,9,4,5543-1354-2180-6475,10/27,34500.0,1121.0900000000001,2023-06-12
18,10,2,5473-7904-8370-8609,10/27,6900.0,1252.38,2024-04-25
19,10,5,3497-7197-1015-9541,02/26,66700.0,5047.570000000001,2022-05-26
20,11,3,4049-0202-8126-6251,11/26,13300.0,2883.2300000000005,2022-10-10
21,11,1,6440-0760-7507-3118,05/28,1300.0,778.5799999999999,2024-05-05
22,12,2,4944-1950-0980-9332,09/27,4800.0,1628.96,2023-09-12
23,12,1,6011-7647-4802-3857,11/26,2500.0,2718.25,2022-10-17
24,12,3,5268-1177-6258-3621,12/26,20500.0,13042.47,2023-10-04
25,13,3,5485-9275-7703-0445,03/28,24400.0,4321.88,2022-09-14
26,13,2,5508-7529-4318-9307,11/26,8400.0,1006.8299999999999,2022-06-16
27,14,2,5174-0579-4335-1530,07/25,8900.0,1248.69,2024-06-17
28,14,3,3449-9339-3595-7293,10/26,10300.0,3244.58,2023-10-30
29,15,5,6552-9391-8657-5895,05/26,94800.0,9098.38,2023-08-20
30,15,2,5592-7177-1432-9814,10/27,9300.0,5758.22,2023-03-17
31,16,2,4486-9207-9091-4696,10/25,9700.0,672.81,2024-07-22
32,16,1,5534-1519-6880-4275,01/27,3300.0,1092.48,2025-01-28
33,16,5,6556-6249-3733-4854,12/27,81500.0,8567.62,2022-09-25
34,17,4,6447-8817-4570-8476,08/27,31000.0,9526.66,2023-11-11
35,17,1,3710-5397-3918-0222,11/27,3400.0,2366.4300000000003,2024-10-02
36,18,4,4529-1727-2410-0964,12/26,27900.0,1632.74,2025-01-27
37,18,3,6011-7140-6297-7067,02/27,14500.0,897.94,2023-08-10
38,19,1,4317-0543-0768-2921,05/26,3100.0,1952.4700000000003,2025-01-06
39,19,5,6011-6751-0164-9805,07/27,97500.0,7493.940000000001,2022-06-25
40,19,4,5355-5378-9697-9781,10/26,26600.0,979.1699999999998,2024-11-13
41,20,1,5219-8991-6385-3305,12/26,1900.0,3387.15,2022-11-08
42,21,2,5304-4523-0874-0478,10/25,8600.0,-604.25,2024-06-09
43,22,4,5597-7327-7906-5842,07/27,37600.0,6206.9400000000005,2024-03-11
44,22,5,5472-6052-1719-7045,05/26,55600.0,203.68000000000006,2022-09-24
45,23,1,6448-3771-3700-5975,03/28,2600.0,2375.55,2024-06-15
46,24,4,6446-2891-9884-9043,05/27,31600.0,1756.85,2024-09-04
47,24,2,5256-3229-9197-8683,11/26,9800.0,1536.75,2022-08-02
48,24,1,6543-7436-4583-4795,08/26,1500.0,2785.92,2025-01-19
49,25,3,3499-9021-5211-0160,11/26,12500.0,2059.9,2023-11-07
50,26,4,5420-0935-3157-4115,12/26,43300.0,3717.5400000000004,2024-02-08
51,26,3,3790-7484-9280-7678,08/25,24500.0,2999.7300000000005,2022-09-29
52,27,4,5555-5911-4678-9001,10/25,41500.0,3179.4500000000007,2024-12-20
53,27,3,5356-4367-5516-0653,04/28,23000.0,4893.929999999999,2024-05-10
54,28,1,5351-0407-4927-2478,03/27,2400.0,1978.8799999999999,2023-11-25
55,29,3,5309-0054-0068-8595,03/28,11900.0,778.9399999999999,2024-02-06
56,29,5,5496-3935-3998-6698,06/28,80100.0,5538.41,2022-08-03
57,29,2,5236-4490-6511-3199,06/28,8900.0,2603.92,2024-11-16
58,30,1,3481-7778-0619-5840,11/25,3300.0,227.42000000000004,2025-02-02
59,30,3,5325-3528-0957-7153,10/27,15200.0,-882.6999999999998,2024-07-10
